"BBL", "CHANGE_DATE", "WIZARD_NAME", "LOT_ACTION", "AUTH_FOR_CHANGE"
1013730001,2013-12-02,REUC,"Altered","Request by NYO Team leader to add REUC Ident # 2554-143 to Manhattan Block 1373 Lot 1 Company name: Sprint"
1013730001,2013-12-24,REUC,"Altered","Request by NYO Team leader to add REUC Ident # A2613-209 to Manhattan Block 1373 Lot 1. Company name: AT&T."
1013730001,2014-02-20,REUC,"Altered","Request by NYO Team leader to add REUC Ident # 2830-267 to Manhattan Block 1373 Lot 1 Company name: Metro PCS."
1013730001,2014-02-21,REUC,"Altered","Request by NYO Team leader to add REUC Ident # A2614-274 to Manhattan Block 1373 Lot 1 Company name: Verizon."
1013730001,2014-04-23,Digital Alteration Book Wizard,"Altered","Deed recorded  Reel 4057 Page 259 12/28/1939 Survey by Gregory Gallas  1-17-2014"
1013730001,2014-05-05,Digital Alteration Book Wizard,"Altered","Survey by Gregory Gallas  09-16-2013"
1013730001,2014-06-04,Digital Alteration Book Wizard,"Altered","Deed Recorded CRFN# Liber# 4057 Page# 259  12/28/1939 Survey by Gregoory Gallas  09/16/2013"
1013730001,2014-06-06,Digital Alteration Book Wizard,"Altered","Map ACC No 30241 showing the establishment of East Main Street  West Main Street  North Loop Road   South Loop Road  East Loop R"
1013730001,2015-05-08,Digital Alteration Book Wizard,"Altered","Memorandum of lease  recorded CRFN# 2013000459480  11-7-2013   Survey by Steven Willard 3/13/2015"
1013730001,2015-07-06,Lot Reconfiguration,"Altered","Correction: Lot face legnth changed from 48.62 to 26.2"
1013730001,2017-01-26,REUC,"Altered","REUC ident No 2830-267 (Metro PCS) was removed from lot 1 as requested by the REUC unit on 1/10/2017."
1013730001,2019-06-20,Digital Alteration Book Wizard,"Altered","Deed Recorded on 8/25/1987  Liber / Page 1280/979   Survey by: Steven Willard  Survey Date:04/29/19"
1013730001,2020-03-09,REUC,"Altered","REUC ident A2614-274 (Verizon) deleted from lot 1 as requested by the REUC Unit  3/06/2020"
1013730004,2010-06-24,Condominium,"Altered","Conversion correction"
1013730040,2014-02-21,REUC,"Altered","Request by NYO Team leader to add REUC Ident # A2613-281 to Manhattan Block 1373 Lot 40 Company name: AT&T."
1014860005,2015-11-30,REUC,"Altered","REUC ident No A2614-3 (Verizon) was added on lot 5 as requested by the REUC unit on 11/23/2015."
1014860005,2015-11-30,REUC,"Altered","REUC ident No A2614 (Verizon) was removed from lot 5 as requested by the REUC unit on 11/23/2015."
1018190203,2019-01-11,Lot Merger,"Altered","City owned property. Request by the NYC Department of Parks and Recreation to merge lots 3  50 and 203 into new lot 203."
1018190203,2019-01-12,REUC,"Altered","REUC ident No A2205 & A1820  were removed from lot 203 as requested by the REUC unit on 1/11/2019."
1022160001,2018-12-14,REUC,"Altered","REUC ident No A2613-330 (AT&T) was added by the requested of the REUC unit on 11/29/2018."
2023140010,2016-04-05,Lot Apportionment,"New","Deed recorded CRFN# 2012000247165   6-22-2012 Survey Oriana Nicoletti-Greco   3/30/2016"
2023140015,2016-04-05,Lot Apportionment,"New","Deed recorded CRFN# 2012000247165   6-22-2012 Survey Oriana Nicoletti-Greco   3/30/2016"
2023490100,2019-11-05,Lot Apportionment,"Altered","Damage and acquisition map ""Lower Concourse Neighborhood Waterfront Park"" 7/26/18 CRFN 2018000394405; Acquisition Map ""Full F"
2023490101,2019-11-05,Lot Apportionment,"New","Damage and acquisition map ""Lower Concourse Neighborhood Waterfront Park"" 7/26/18 CRFN 2018000394405; Acquisition Map ""Full F"
2023490101,2020-02-27,REUC,"Altered","REUC ident A1324-E2.2 (Auditor of Highways) added to lot 101 as requested by the REUC Unit  2/26/2020"
2025430001,2017-12-01,REUC,"Altered","REUC Ident F6050 (FRESH DIRECT) added to lot 1 at request of REUC Unit 12/1/17"
2025430001,2019-03-22,Lot Apportionment,"Altered","First part of the apportionment."
2025430001,2019-04-03,Digital Alteration Book Wizard,"Altered","Notice of Appropriation: Reel 500 Page 268  12/10/1982.  Survey By John J.  Toscano  01/24/2019"
2025430001,2019-04-05,Digital Alteration Book Wizard,"Altered","Corrected the block polygons."
2025430001,2019-09-17,REUC,"Altered","REUC ident A2205-E1 (AMTRAK) added to lot 1 as requested by the REUC Unit  09/09/2019"
2025430001,2019-09-17,REUC,"Altered","REUC ident 1605-E1 (TRIBOROUGH BRIDGE & TUNNEL AUTHORITY) added to lot 1 as requested by the REUC Unit  09/09/2019"
2025430001,2019-09-17,REUC,"Altered","REUC ident 2736-2E (NYPA) & F6050 (FRESH DIRECT) added to lot 1 as requested by the REUC Unit  09/09/2019"
2025430001,2019-12-19,REUC,"Altered","REUC ident F6050 (Fresh Direct) deleted from lot 1 as requested by the REUC Unit  9/18/2019"
2025430020,2011-04-18,REUC,"Altered","Requested by REUC team on 4/18/2011. Ident No B2239 State Of NY DOT and 2827 Federal Express."
2025430020,2019-04-05,Digital Alteration Book Wizard,"Altered","Corrected the block polygons."
2025430110,2019-04-03,Digital Alteration Book Wizard,"New","Notice of Appropriation: Reel 500 Page 268  12/10/1982.  Survey By John J.  Toscano  01/24/2019"
2025430110,2019-04-05,Digital Alteration Book Wizard,"Altered","Corrected the block polygons."
2034990023,2020-12-23,Lot Apportionment,"Altered","Deed for lot 23 recorded on 8-01-2018  CRFN 2018000257527  Survey by Gerald T. O'Buckley on 7-01-2020  Vacant Land"
2034990123,2020-12-23,Lot Apportionment,"New","Deed for lot 23 recorded on 8-01-2018  CRFN 2018000257527  Survey by Gerald T. O'Buckley on 7-01-2020  Vacant Land"
2038070006,2019-03-07,Lot Apportionment,"Altered","Deed Recorded on 7/14/2014   Deed CRFN:2014000234586   Survey by: Alphonse Pesce  Survey Date:09/12/2018  PW1:220649779  2206469"
2038070007,2019-03-07,Lot Apportionment,"New","Deed Recorded on 7/14/2014   Deed CRFN:2014000234586   Survey by: Alphonse Pesce  Survey Date:09/12/2018  PW1:220649779  2206469"
2038070008,2019-03-07,Lot Apportionment,"New","Deed Recorded on 7/14/2014   Deed CRFN:2014000234586   Survey by: Alphonse Pesce  Survey Date:09/12/2018  PW1:220649779  2206469"
2038070009,2019-03-07,Lot Apportionment,"New","Deed Recorded on 7/14/2014   Deed CRFN:2014000234586   Survey by: Alphonse Pesce  Survey Date:09/12/2018  PW1:220649779  2206469"
2038270055,2016-07-22,REUC,"Altered","REUC ident A22-14 (VERIZON NEW YORK INC) deleted from lot 55 as requested by the REUC Unit  7/21/2016"
2038380260,2020-09-16,Lot Apportionment,"Altered","Deed recorded Liber# 987 Page#477   7-21-1974 Survey by Paul Fisher  3-9-2020"
2038380270,2020-09-16,Lot Apportionment,"New","Deed recorded Liber# 987 Page#477   7-21-1974 Survey by Paul Fisher  3-9-2020"
2038830027,2020-12-11,Lot Apportionment,"Altered","Deed for lot [ #27 ]recorded on [2/21/2020]  CRFN [ #2020000068289 ]  Survey by [Jaroslaw W Krawczyk] on [2/3/2020]  NB/ALT1/SI "
2038830028,2020-12-11,Lot Apportionment,"New","Deed for lot [ #27 ]recorded on [2/21/2020]  CRFN [ #2020000068289 ]  Survey by [Jaroslaw W Krawczyk] on [2/3/2020]  NB/ALT1/SI "
2042260016,2013-08-28,Condominium,"Altered","Condo # 180  Approved by Tax Map Unit   08/8/2013  Declaration# 2013000342773  08/27/2013  Maps # 2013000342774  08/27/2013"
2042260030,2008-06-02,Lot Apportionment,"Altered","tax map subdivision block #4226 lot #30 new lot #130"
2042260030,2011-09-15,Digital Alteration Book Wizard,"Altered","Lots 40 55 30 were affected by the creation of the Marconi street created by Map No 13122 from the Topographical Bureau at the B"
2042260030,2013-08-30,Digital Alteration Book Wizard,"Altered","The missing Borough information has been fixed for the following records in the Tax Block Layer - [Borough: Queens Blocks: 2080 "
2042260030,2018-07-31,Digital Alteration Book Wizard,"Altered","Conversion correction on lot 30. A sliver was deleted."
2042260030,2019-06-10,Lot Reconfiguration,"Altered","Split added as per original survey"
2042260030,2019-06-18,Lot Reconfiguration,"Altered","Measurement correction as per survey"
2046170028,2014-11-25,Lot Merger,"Altered","Application date 11/19/2014. Deed for lot 28 rec. on 11/07/2014. CRFN# 2014000368980. deed for lot 32 rec. on 11/07/2014. CRFN# "
2046170028,2019-05-08,Lot Apportionment,"Altered","Deed for p/o lot 28 (FKA lot 32) recorded 10/31/14 CRFN 2014000363908 Deed for p/o lot 28 recorded 11/7/14 CRFN 2014000368980; S"
2046170040,2019-05-08,Lot Apportionment,"New","Deed for p/o lot 28 (FKA lot 32) recorded 10/31/14 CRFN 2014000363908 Deed for p/o lot 28 recorded 11/7/14 CRFN 2014000368980; S"
2046460001,2020-02-27,Lot Apportionment,"Altered","Deed for lot [1 ]recorded on: 01/27/2017  CRFN : 2017000038609  Survey by Vincent Teutonico on date:1/14/2020  SI [job no: 20080"
2046460003,2020-02-27,Lot Apportionment,"New","Deed for lot [1 ]recorded on: 01/27/2017  CRFN : 2017000038609  Survey by Vincent Teutonico on date:1/14/2020  SI [job no: 20080"
2046460004,2020-02-27,Lot Apportionment,"New","Deed for lot [1 ]recorded on: 01/27/2017  CRFN : 2017000038609  Survey by Vincent Teutonico on date:1/14/2020  SI [job no: 20080"
2046460005,2020-02-27,Lot Apportionment,"New","Deed for lot [1 ]recorded on: 01/27/2017  CRFN : 2017000038609  Survey by Vincent Teutonico on date:1/14/2020  SI [job no: 20080"
2046550006,2020-03-10,Lot Apportionment,"Altered","Recorded/Filed	: 07/23/2018  City Register File No (CRFN): 2018000242909  Survey By: Vincent Teutonico   on date: 10/28/2019"
2046550008,2020-03-10,Lot Apportionment,"New","Recorded/Filed	: 07/23/2018  City Register File No (CRFN): 2018000242909  Survey By: Vincent Teutonico   on date: 10/28/2019"
2049050002,2019-12-04,Lot Merger,"Altered","part 1 of 2 part apportionment"
2049050002,2019-12-04,Lot Apportionment,"Altered","Cour order recorded 1/9/07 CRFN 2007000016754; Deed for lot 2002 recorded 10/28/90 Reel 1067 Pg 0464; Surveyed by Paul Fisher PL"
2049052002,2019-12-04,Lot Merger,"Dropped","part 1 of 2 part apportionment"
2049052002,2019-12-04,Lot Apportionment,"New","Cour order recorded 1/9/07 CRFN 2007000016754; Deed for lot 2002 recorded 10/28/90 Reel 1067 Pg 0464; Surveyed by Paul Fisher PL"
2054160125,2019-10-13,Lot Apportionment,"Altered","Recorded deeds CRFN: 2019000293447  09/12/2012  Survey by Vincent Teutoninco  07/03/2019"
2054160126,2019-10-13,Lot Apportionment,"New","Recorded deeds CRFN: 2019000293447  09/12/2012  Survey by Vincent Teutoninco  07/03/2019"
2055990041,2017-04-06,Lot Merger,"Altered","Part 1 of 2 part Apportionment"
2055990041,2017-04-06,Lot Apportionment,"Altered","Deed for lots 41  49 recorded on 10/21/2015 CRFN 2015000376896 ; Surveyed byGerald T O'Buckley 3/10/2017 ; NB No.'s 220470363  2"
2055990043,2017-04-06,Lot Apportionment,"New","Deed for lots 41  49 recorded on 10/21/2015 CRFN 2015000376896 ; Surveyed byGerald T O'Buckley 3/10/2017 ; NB No.'s 220470363  2"
2055990045,2017-04-06,Lot Apportionment,"New","Deed for lots 41  49 recorded on 10/21/2015 CRFN 2015000376896 ; Surveyed byGerald T O'Buckley 3/10/2017 ; NB No.'s 220470363  2"
2055990047,2017-04-06,Lot Apportionment,"New","Deed for lots 41  49 recorded on 10/21/2015 CRFN 2015000376896 ; Surveyed byGerald T O'Buckley 3/10/2017 ; NB No.'s 220470363  2"
2055990049,2017-04-06,Lot Merger,"Dropped","Part 1 of 2 part Apportionment"
2055990049,2017-04-06,Lot Apportionment,"New","Deed for lots 41  49 recorded on 10/21/2015 CRFN 2015000376896 ; Surveyed byGerald T O'Buckley 3/10/2017 ; NB No.'s 220470363  2"
2056360177,2018-04-20,Digital Alteration Book Wizard,"Altered","Sewer easement was acquired on lots 177 and 100. Damaged & Acquisition map No 1581. Court order CRFN 2018000114672  Map CRFN 201"
2056500001,2018-11-21,REUC,"Altered","REUC ident A2613-122 (AT&T) added to lot 1 as requested by the REUC Unit  11/14/2018"
2057860195,2018-11-28,Lot Apportionment,"New","Deed Recorded on 04/03/2017  Deed CRFN: 2017000127716  Survey by: Vincent Tuetonico  Survey Date: 09/05/2018  PW1: 220580556"
2057860196,2018-11-28,Lot Apportionment,"New","Deed Recorded on 04/03/2017  Deed CRFN: 2017000127716  Survey by: Vincent Tuetonico  Survey Date: 09/05/2018  PW1: 220580556"
3003300044,2013-06-04,Condominium,"Altered","Condo No. 3349  Condo Name: The Sunfish Condominium  Condominium Approval Date: 5/28/2013  Decl. CRFN  2013000218515  Maps CRFN "
3003300044,2017-07-06,Digital Alteration Book Wizard,"Altered","Condo # 3349-A  Approved by the Tax Map Unit  06/27/2017  Declaration: 2017000245546  7/5/2017  Maps: 2017000245547  7/5/2017"
3003300047,2019-02-20,Condominium,"Altered","Condo No. 4576  Condo Name: MERCHANT HOUSE BK STREET CONDOMINIUM  Condominium Approval Date: 1/16/2019  Decl. CRFN  201900005358"
3003300048,2016-09-22,Lot Apportionment,"Altered","Deed for lot 48 recorded on 12/17/2015 CRFN 2015000446486; Surveyed by Vincent Teutonico on 7/28/2016; Vacant"
3003300048,2019-02-20,Condominium,"Altered","Condo No. 4576  Condo Name: MERCHANT HOUSE BK STREET CONDOMINIUM  Condominium Approval Date: 1/16/2019  Decl. CRFN  201900005358"
3003300049,2016-09-22,Lot Apportionment,"New","Deed for lot 48 recorded on 12/17/2015 CRFN 2015000446486; Surveyed by Vincent Teutonico on 7/28/2016; Vacant"
3003300049,2019-02-20,Condominium,"Altered","Condo No. 4576  Condo Name: MERCHANT HOUSE BK STREET CONDOMINIUM  Condominium Approval Date: 1/16/2019  Decl. CRFN  201900005358"
3005550005,2019-10-03,Lot Apportionment,"Altered","Deeds recorded CRFN: 2019000030068  01/28/2019   Survey by Paul W. Werler  6/20/2019"
3005550104,2019-10-03,Lot Apportionment,"New","Deeds recorded CRFN: 2019000030068  01/28/2019   Survey by Paul W. Werler  6/20/2019"
3006710001,2018-10-15,Digital Alteration Book Wizard,"Altered","Block 671 Lot 1 Deed Recorded on 03/02/2018  Deed CRFN:2018000072827  Block 675 Lot 10 Deed Recorded on 04/11/2018  Deed CRFN:20"
3009080162,2013-12-10,Lot Merger,"Altered","Deed recorded CRFN# 2013000340479  08-26-2013"
3009080162,2020-03-16,Lot Apportionment,"Altered","Deed for lot 162  165 on: 8/26/2013   CRFN: 2013000340479  Survey by RAMZAN ALLI on: 02/29/2020  NB/ALT1/SI: 320869039  32102338"
3009080164,2020-03-16,Lot Apportionment,"New","Deed for lot 162  165 on: 8/26/2013   CRFN: 2013000340479  Survey by RAMZAN ALLI on: 02/29/2020  NB/ALT1/SI: 320869039  32102338"
3010870007,2018-12-16,Lot Apportionment,"Altered","Deed Recorded on 08/29/2018  Deed CRFN # 2018000290819  Survey by: NY Land Surveyor P.C.  Survey Date: 11/05/2018"
3010870010,2018-12-16,Lot Apportionment,"New","Deed Recorded on 08/29/2018  Deed CRFN # 2018000290819  Survey by: NY Land Surveyor P.C.  Survey Date: 11/05/2018"
3011300011,2019-01-31,Lot Apportionment,"Altered","Deed recorded Liber 2057 Page 490 Survey by Viccent Diice   11/27/2018"
3011300025,2017-02-22,Lot Apportionment,"New","Deed recorded Sec 4 Liber 49   9-1-1904 Survey by William Spiezia 8/17/2016"
3011300070,2019-01-31,Lot Apportionment,"New","Deed recorded Liber 2057 Page 490 Survey by Viccent Diice   11/27/2018"
3013610012,2018-12-15,Lot Apportionment,"Altered","Deed Recorded on 11/14/2016  Deed CRFN # 2016000400080  Survey by: A & B Engineering and Land Surveying  P.C.  Survey Date: 03/1"
3013610014,2018-12-15,Lot Apportionment,"New","Deed Recorded on 11/14/2016  Deed CRFN # 2016000400080  Survey by: A & B Engineering and Land Surveying  P.C.  Survey Date: 03/1"
3013610022,2018-06-28,Condominium,"Altered","Condo No. 4328  Condo Name: 1204 ST MARKS AVENUE CONDOMINIUM  Condominium Approval Date: 6/21/18  Decl. CRFN  2018000211996  Map"
3013740007,2019-08-20,Lot Apportionment,"Altered","Deed Recorded on 8/3/2018  Deed CRFN:2018000260545  Survey by: Vincent Teutonico  Survey Date:05/22/2019  PW1:321780818  3217808"
3013740008,2019-08-20,Lot Apportionment,"New","Deed Recorded on 8/3/2018  Deed CRFN:2018000260545  Survey by: Vincent Teutonico  Survey Date:05/22/2019  PW1:321780818  3217808"
3015530025,2020-01-22,Lot Apportionment,"Altered","Deed for lot [ #25 ]recorded on [4/11/2019]  CRFN [ #2019000116155 ]  Survey by [surveyor] on [date]  NB  [job #321913612 and 32"
3015530027,2020-01-22,Lot Apportionment,"New","Deed for lot [ #25 ]recorded on [4/11/2019]  CRFN [ #2019000116155 ]  Survey by [surveyor] on [date]  NB  [job #321913612 and 32"
3015920001,2019-04-08,Lot Apportionment,"Altered","Deeds recorded Liber 2553 Page 1759  5/11/1990  Survey byVincent J. Dicce  03/13/2019"
3015920100,2019-04-08,Lot Apportionment,"New","Deeds recorded Liber 2553 Page 1759  5/11/1990  Survey byVincent J. Dicce  03/13/2019"
3017650031,2011-06-08,Condominium,"Altered","Condo # 3033 approved 5/23/2011. Decl & Maps recorded 4/27/2011. Decl CRFN # 2011000201505  Maps CRFN # 2011000201506. New Condo"
3020850001,2017-09-28,Lot Apportionment,"Altered","Deed recorded CRFN# 2004000230222   4-15-2004 Survey by James Sens 4-13-2017"
3020850001,2018-03-15,Lot Reconfiguration,"Altered","Correction: Lot 1 & 2  boundary dimension correction."
3020850001,2019-01-31,REUC,"Altered","REUC ident No A2616-537 (T-Mobile) was added to lot 1 as requested by the REUC unit on 01/04/2019."
3020850001,2019-07-02,Lot Apportionment,"Altered","Deeds recorded CRFN# 2017000398386  10/27/2017  Survey by James D. Sesi  06/24/2019"
3020850001,2019-07-03,Digital Alteration Book Wizard,"Altered","Deeds recorded Liber: 3630  Page 2479  01/03/1996                 Liber: 3630  Page 2475  01/03/1996                 Liber: 898 "
3020850001,2019-07-03,Digital Alteration Book Wizard,"Altered","Added missing deed.    Recorded deeds CRFN 2004000230222  04/15/2004"
3020850001,2019-07-26,Lot Reconfiguration,"Altered","Measurement correction as per survey"
3020850001,2020-01-14,Digital Alteration Book Wizard,"Altered","Correction to digitization error that occured during apportionment of lots 2085-1  2086-1  2086-34  2087-1 from 7/3/2019"
3020850001,2020-02-27,REUC,"Altered","REUC ident A1604-7 (LIU) deleted from lot 1 as requested by the REUC Unit  2/26/2020"
3020850001,2021-04-02,Digital Alteration Book Wizard,"Altered","Deed for lot 1 recorded on 10/27/2017  CRFN 2017000398386  Survey by James D. Sens on 3/09/2021  SI 322089985"
3020850002,2017-09-28,Lot Apportionment,"New","Deed recorded CRFN# 2004000230222   4-15-2004 Survey by James Sens 4-13-2017"
3020850002,2018-03-15,Lot Reconfiguration,"Altered","Correction: Lot 1 & 2  boundary dimension correction."
3020850002,2018-06-29,Condominium,"Altered","Condo No. 4338  Condo Name: University Plaza Condominium  Condominium Approval Date: 6/12/18  Decl. CRFN  2018000214463  Maps CR"
3020870001,2019-07-03,Digital Alteration Book Wizard,"Altered","Deeds recorded Liber: 3630  Page 2479  01/03/1996                 Liber: 3630  Page 2475  01/03/1996                 Liber: 898 "
3020870001,2019-07-03,Digital Alteration Book Wizard,"Altered","Added missing deed.    Recorded deeds CRFN 2004000230222  04/15/2004"
3020870001,2020-01-14,Digital Alteration Book Wizard,"Altered","Correction to digitization error that occured during apportionment of lots 2085-1  2086-1  2086-34  2087-1 from 7/3/2019"
3020880025,2019-08-14,Lot Apportionment,"New","Deed for lot recorded 12/31/1974 Reel 755 pg 1658; Surveyed by James Weed 8/5/19; DOB SI Job No. 321961935"
3020880030,2019-08-14,Lot Apportionment,"Altered","Deed for lot recorded 12/31/1974 Reel 755 pg 1658; Surveyed by James Weed 8/5/19; DOB SI Job No. 321961935"
3023060015,2011-10-11,Lot Merger,"Dropped","Application Date :10/11/2011 Deed for lots 1 30 28 11 and 15 Recorded on 05/24/2007 CRFN# 2007000273609. Affected lot 1 Drop lot"
3023060015,2012-05-03,Lot Apportionment,"New","Deed Recorded on  5/24/2007   Deed CRFN # 2007000273609  Survey By:AAA Group  Survey date: 1/12/2012  PW 1 # 320421566"
3023060018,2017-10-17,Lot Apportionment,"Altered","Deed Recorded on 5/28/2014  9/6/2007  Deed CRFN # 2014000181801  2007000458822  Survey by: Gerald O'Buckley  Survey Date:9/18/20"
3023060022,2017-10-17,Lot Apportionment,"New","Deed Recorded on 5/28/2014  9/6/2007  Deed CRFN # 2014000181801  2007000458822  Survey by: Gerald O'Buckley  Survey Date:9/18/20"
3023140015,2018-12-20,Lot Merger,"Altered","Deed Recorded on 04/19/2018 (Lot 15) and 04/20/2018 (Lot 16)  Deed CRFN # 2018000130687 (Lot 15) and 2018000131933 (Lot 16)"
3025710018,2018-09-19,Condominium,"Altered","Condo No. 4416  Condo Name: 84 Oak Street Condominium  Condominium Approval Date: 9/17/18  Decl. CRFN  2018000311215  Maps CRFN "
3028130050,2013-12-11,Lot Apportionment,"Altered","Deed Recorded on 7/20/2005  Deed CRFN # 2005000406363   Notice of Appropriation Recorded on 1/13/2012- 2012000016408  Notice of "
3028370001,2013-07-12,REUC,"Altered","Request by NYO Team leader to Remove REUC Ident # 2614-35 From Brooklyn Block 2837 Lot 1. Company name: No such ident in REUC.Wo"
3028370001,2015-01-15,REUC,"Altered","Request by NYO Team leader to Delete REUC Ident #A2614-35 From Brooklyn Block 2837 Lot 1. Company name: Verizon."
3039760015,2020-09-18,Lot Apportionment,"Altered","Recorded/Filed : 4/25/2018  City Register File No (CRFN): 2018000137265  Survey By:  Vincent Teutonico   on date: 11/6/2019"
3039760114,2020-11-25,Admin,"Lot Number Changed","Corrected"
3039830009,2019-07-30,Lot Apportionment,"New","Deed Recorded on 7/20/2015   Deed CRFN: 2015000249268  Survey by: Ramzan Alli  Survey Date:05/30/2019  PW1:321383285"
3039830010,2019-07-30,Lot Merger,"Altered","Step 1 of 2 step apportionment"
3039830010,2019-07-30,Lot Apportionment,"Altered","Deed Recorded on 7/20/2015   Deed CRFN: 2015000249268  Survey by: Ramzan Alli  Survey Date:05/30/2019  PW1:321383285"
3039830011,2019-07-30,Lot Apportionment,"New","Deed Recorded on 7/20/2015   Deed CRFN: 2015000249268  Survey by: Ramzan Alli  Survey Date:05/30/2019  PW1:321383285"
3039830012,2019-07-30,Lot Apportionment,"New","Deed Recorded on 7/20/2015   Deed CRFN: 2015000249268  Survey by: Ramzan Alli  Survey Date:05/30/2019  PW1:321383285"
3039830013,2019-07-30,Lot Merger,"Dropped","Step 1 of 2 step apportionment"
3039830013,2019-07-30,Lot Apportionment,"New","Deed Recorded on 7/20/2015   Deed CRFN: 2015000249268  Survey by: Ramzan Alli  Survey Date:05/30/2019  PW1:321383285"
3044510001,2008-06-03,Digital Alteration Book Wizard,"New","Correction of lot designation  refer to RP602 dated 03/31/88 filed in Block 4452. Date of alteration 04/20/1994."
3044520170,2008-05-20,Lot Apportionment,"Altered","Part 1 of lot 4452 transaction"
3044520170,2009-04-15,Lot Reconfiguration,"Altered","correction only to lot face from 456.44 to the correct length of 465.49"
3044520170,2009-09-24,Lot Merger,"Altered","part of DTM procedure to apportion Block 4586 lot 1 and Block 4452 lot 170 into 54 lots."
3044520170,2009-10-09,Lot Apportionment,"Altered","Law dept letter dated May 20  1968 (#41084)  Title vested in the City of New York on May 1  1968.  Survey by: John Bernadone of "
